date,Gangwon,Gyeonggi,Gyeongnam,Gyeongbuk,Gwangju,Daegu,Daejeon,Busan,Seoul,Ulsan,Incheon,Jeonnam,Jeonbuk,Jeju,Chungnam,Chungbuk,year,Korea,date2
2042-07-09,0.4274773895740509,16.276500701904297,0.5778948068618774,0.9283837080001831,1.183746099472046,0.5023853778839111,0.8343527317047119,0.47879648208618164,3.441422462463379,0.4330429136753082,4.5833563804626465,1.1276919841766357,0.8508809804916382,0.2987595200538635,2.428110122680664,0.8861430883407593,2042,35.25894474983215,07-09
2042-07-10,0.4035373628139496,4.528900623321533,0.9930988550186157,1.4975100755691528,0.9320950508117676,0.7487609386444092,0.8697197437286377,0.5941331386566162,1.232676386833191,0.5015016794204712,2.3078396320343018,1.0949347019195557,0.7725660800933838,0.3466810882091522,1.5698959827423096,0.7531501054763794,2042,19.147001445293427,07-10
2042-07-11,0.8351759910583496,7.257945537567139,2.3331544399261475,4.830965995788574,1.5584748983383179,1.6205991506576538,1.7766096591949463,0.889150857925415,1.668567180633545,0.9476913213729858,1.8419326543807983,1.9863078594207764,1.512087345123291,0.6810916662216187,2.5689451694488525,2.122997999191284,2042,34.431697726249695,07-11
2042-07-12,0.7277513742446899,7.074024677276611,2.7214090824127197,5.358212947845459,2.1282808780670166,2.1192543506622314,1.711832046508789,1.1662182807922363,1.6397569179534912,1.6773226261138916,1.927066683769226,2.8628602027893066,1.8857519626617432,1.0727335214614868,2.964055061340332,1.8885293006896973,2042,38.92505991458893,07-12
2042-07-13,0.4101494550704956,3.334277391433716,1.480027437210083,2.4636893272399902,1.957440733909607,1.1402828693389893,0.7449250221252441,1.0115809440612793,0.7274810075759888,1.6084086894989014,1.1876811981201172,2.5201945304870605,1.1374832391738892,1.0942919254302979,1.2933084964752197,0.8345891237258911,2042,22.94581139087677,07-13
2042-07-14,0.17767810821533203,2.5448999404907227,2.0575993061065674,2.5902888774871826,2.3518526554107666,1.4278062582015991,0.9074126482009888,1.2912580966949463,0.5331746339797974,1.347145676612854,1.008736491203308,2.7692251205444336,1.4887640476226807,1.2596116065979004,1.784626841545105,0.8364242315292358,2042,24.37650454044342,07-14
2042-07-15,0.1393290013074875,1.1990152597427368,1.5283095836639404,1.4008129835128784,1.354806661605835,0.9178903102874756,0.8231419324874878,0.9744789600372314,0.34957534074783325,0.9117329120635986,0.6701197624206543,1.8784394264221191,0.9369113445281982,0.8806991577148438,1.274031639099121,0.6774475574493408,2042,15.916741833090782,07-15
2042-07-16,0.17390963435173035,0.7608393430709839,1.015823483467102,0.7153332233428955,0.9109539985656738,0.7636575698852539,0.4443696141242981,0.6503040790557861,0.3219752013683319,0.6131882667541504,0.5557318925857544,1.429582118988037,0.5420633554458618,0.6241450309753418,0.6911190748214722,0.2602689862251282,2042,10.473264873027802,07-16
2042-07-17,0.25909286737442017,1.4051450490951538,1.935073733329773,1.5019400119781494,1.043044090270996,1.0550881624221802,0.4679584503173828,0.9236928224563599,0.49069327116012573,1.1262588500976562,0.5981522798538208,1.8601772785186768,0.6112864017486572,0.7562873363494873,0.744566798210144,0.33614683151245117,2042,15.114604234695435,07-17
2042-07-18,0.31414592266082764,1.5879969596862793,2.6131949424743652,2.1745989322662354,1.2699955701828003,1.3693878650665283,0.5716785192489624,1.3952821493148804,0.5211913585662842,1.6604182720184326,0.6901836395263672,2.552564859390259,0.7831075191497803,1.1152613162994385,1.0911104679107666,0.43812572956085205,2042,20.14824402332306,07-18
2042-07-19,0.27240869402885437,1.1861761808395386,2.154632091522217,1.8153541088104248,1.315847635269165,1.3194620609283447,0.7252075672149658,1.4822511672973633,0.3717786371707916,1.7734066247940063,0.6570231914520264,2.4469943046569824,0.9109286069869995,1.2064357995986938,1.096096158027649,0.4350121319293976,2042,19.16901496052742,07-19
2042-07-20,0.29711243510246277,1.0214532613754272,2.287846565246582,2.1519086360931396,0.8269397020339966,1.507112979888916,0.5759826898574829,1.691637396812439,0.3561825454235077,2.220306396484375,0.6935515403747559,1.617203712463379,0.590691328048706,0.8161531686782837,0.8213984966278076,0.4295252859592438,2042,17.905006140470505,07-20
